2025-10-01 10:56:21.0   24.89344258   67.08766869     0.000   0/0 ---   BUFF:  0% SRCH:   0 L 1970-01-01 00:00:00.0   0.00000000    0.00000000     0.000   0/0 ---   BUFF:  3% SRCH:   2025-10-01 10:56:21.5  24.89344258   67.08766869    27.694   5/5 FIX   BUFF:  7% SRCH:  79 LOCK:   6/ 532
  CH RF  SAT   SIG PRN  LOCK(s) C/N0 (dB-Hz)         COFF(ms) DOP(Hz)    ADR(cyc) SYNC  #NAV #ERR #LOL FEC
   4  1  G04  L1CA   4    79.86 44.1 ||||||||       0.4194673   -92.1     -4374.6 -BF-    12    0    0   0
   8  1  G08  L1CA   8    78.18 43.2 |||||||        0.4362492  2446.5    194698.3 -BFR    12    0    0   0
   9  1  G09  L1CA   9    77.78 36.8 ||||           0.5042897  2158.4    169947.0 -BF-    12    0    0   0
  16  1  G16  L1CA  16    74.53 41.1 ||||||         0.6206873 -2766.5   -203712.3 -BF-    10    1    0   0
  27  1  G27  L1CA  27    69.66 42.5 |||||||        0.6022315   926.1     67267.2 -BF-    10    0    0   0
  67  1  E21   E1B  21    23.19 40.5 ||||||         0.0475704 -1759.4    -40714.2 -BFR    10    0    0   0
2025-10-01 10:56:22.0   24.89344258   67.08766869     0.000   0/0 ---   BUFF:  0% SRCH:   0 L 1970-01-01 00:00:00.0   0.00000000    0.00000000     0.000   0/0 ---   BUFF:  3% SRCH:   2025-10-01 10:56:22.5  24.89344258   67.08766869    27.694   5/5 FIX   BUFF:  7% SRCH:  79 LOCK:   6/ 532
   4  1  G04  L1CA   4   105.90 44.6 ||||||||       0.4212170  -122.1     -7136.2 -BF-    17    0    0   0
   8  1  G08  L1CA   8   104.21 44.2 ||||||||       0.3958907  2434.2    258286.4 -BFR    17    0    0   0
   9  1  G09  L1CA   9   103.82 37.9 ||||           0.4689177  2121.4    225662.2 -BF-    17    0    0   0
  16  1  G16  L1CA  16   100.57 43.1 |||||||        0.6665279 -2775.9   -275925.3 -BF-    15    1    0   0
  27  1  G27  L1CA  27    95.70 43.0 |||||||        0.5871497   898.3     91024.5 -BF-    15    0    0   0
  67  1  E21   E1B  21    49.23 40.8 ||||||         0.0768672 -1776.8    -86878.3 -BFR    23    0    0   0
 103  3  E21  E5AI  21    10.19 38.1 ||||           0.0768583 -1323.5    -13530.7 S---     0    0    0   0
 105  3  E23  E5AI  23     9.69 38.6 |||||          0.9069290   375.5      3606.0 S---     0    0    0   0
2025-10-01 10:56:23.0   24.89344258   67.08766869     0.000   0/0 ---   BUFF:  0% SRCH:   0 L 1970-01-01 00:00:00.0   0.00000000    0.00000000     0.000   0/0 ---   BUFF:  3% SRCH:   2025-10-01 10:56:23.5  24.89344258   67.08766869    27.694   5/5 FIX   BUFF:  7% SRCH:  79 LOCK:   6/ 532
   4  1  G04  L1CA   4   117.54 44.0 ||||||||       0.4221316  -128.4     -8573.7 -BF-    18    0    0   0
   8  1  G08  L1CA   8   115.86 44.8 ||||||||       0.3779610  2421.0    286530.6 -BFR    18    0    0   0
   9  1  G09  L1CA   9   115.47 38.9 |||||          0.4532430  2130.3    250392.0 -BF-    18    0    0   0
  16  1  G16  L1CA  16   112.21 41.6 ||||||         0.6871264 -2793.4   -308374.9 -BF-    16    1    0   0
  27  1  G27  L1CA  27   107.34 43.1 |||||||        0.5805530   887.6    101416.3 -BF-    16    0    0   0
  67  1  E21   E1B  21    60.87 40.3 ||||||         0.0900602 -1792.3   -107665.2 -BFR    29    0    0   0
 103  3  E21  E5AI  21    21.84 38.2 ||||           0.0900535 -1330.3    -29053.6 SBFR     1    0    0   0
 105  3  E23  E5AI  23    21.33 38.9 |||||          0.9033199   360.3      7852.5 S---     0    0    0   0
2025-10-01 10:56:24.0   24.89344258   67.08766869     0.000   0/0 ---   BUFF:  0% SRCH:   0 L 1970-01-01 00:00:00.0   0.00000000    0.00000000     0.000   0/0 ---   BUFF:  3% SRCH:   2025-10-01 10:56:24.5  24.89344258   67.08766869    27.694   5/5 FIX   BUFF:  7% SRCH:  79 LOCK:   6/ 532
   4  1  G04  L1CA   4   117.54 44.0 ||||||||       0.4221316  -128.4     -8573.7 -BF-    18    0    0   0
   8  1  G08  L1CA   8   115.86 44.8 ||||||||       0.3779610  2421.0    286530.6 -BFR    18    0    0   0
   9  1  G09  L1CA   9   115.47 38.9 |||||          0.4532430  2130.3    250392.0 -BF-    18    0    0   0
  16  1  G16  L1CA  16   112.21 41.6 ||||||         0.6871264 -2793.4   -308374.9 -BF-    16    1    0   0
  27  1  G27  L1CA  27   107.34 43.1 |||||||        0.5805530   887.6    101416.3 -BF-    16    0    0   0
  67  1  E21   E1B  21    60.87 40.3 ||||||         0.0900602 -1792.3   -107665.2 -BFR    29    0    0   0
 103  3  E21  E5AI  21    21.84 38.2 ||||           0.0900535 -1330.3    -29053.6 SBFR     1    0    0   0
 105  3  E23  E5AI  23    21.33 38.9 |||||          0.9033199   360.3      7852.5 S---     0    0    0   0
2025-10-01 10:56:25.0   24.89344258   67.08766869     0.000   0/0 ---   BUFF:  0% SRCH:   0 L 1970-01-01 00:00:00.0   0.00000000    0.00000000     0.000   0/0 ---   BUFF:  3% SRCH:   2025-10-01 10:56:25.5  24.89344258   67.08766869    27.694   5/5 FIX   BUFF:  7% SRCH:  79 LOCK:   6/ 532
